Date,Nifty,Gold,Liquid
2001-02-16,1381.35,259.8,110.74409888562592
2001-02-17,1381.35,259.8,110.76987859480404
2001-02-18,1381.35,259.8,110.79566430514532
2001-02-19,1384.8,259.8,110.82145601804672
2001-02-20,1383.85,257.6,110.84725373490558
2001-02-21,1370.1,259.4,110.87305745711951
2001-02-22,1355.1,259.8,110.89886718608652
2001-02-23,1320.45,262.1,110.92468292320488
2001-02-24,1320.45,262.1,110.94999775926742
2001-02-25,1320.45,262.1,110.97531837259169
2001-02-26,1312.4,266.8,111.00064476449612
2001-02-27,1295.55,268.4,111.02597693629951
2001-02-28,1351.4,267.8,111.05131488932092
2001-03-01,1358.05,266.2,111.07665862487976
2001-03-02,1306.35,263.1,111.10200814429564
2001-03-03,1306.35,263.1,111.12622259867892
2001-03-04,1306.35,263.1,111.15044233055276
2001-03-05,1271.45,263.5,111.1746673410674
2001-03-06,1271.45,260.9,111.19889763137328
2001-03-07,1290.5,262.4,111.22313320262116
2001-03-08,1292.85,266.1,111.247374055962
2001-03-09,1254.75,271.5,111.27162019254702
2001-03-10,1254.75,271.5,111.29587161352768
2001-03-11,1254.75,271.5,111.32012832005572
2001-03-12,1197.95,272.3,111.3443903132831
2001-03-13,1124.7,267.5,111.36865759436203
2001-03-14,1194.2,262.9,111.39293016444503
2001-03-15,1217.15,260.3,111.4172080246848
2001-03-16,1193.55,258.4,111.44149117623434
2001-03-17,1193.55,258.4,111.4674332287844
2001-03-18,1193.55,258.4,111.4933813202889
2001-03-19,1186.7,260.1,111.51933545215368
2001-03-20,1170.95,260.8,111.5452956257848
2001-03-21,1207.1,262.2,111.57126184258873
2001-03-22,1187.55,261.4,111.5972341039722
2001-03-23,1161.3,261.7,111.62321241134238
2001-03-24,1161.3,261.7,111.64919676610664
2001-03-25,1161.3,261.7,111.67518716967272
2001-03-26,1161.5,262.1,111.70118362344871
2001-03-27,1177.75,261.1,111.72718612884306
2001-03-28,1206.2,259.7,111.75319468726444
2001-03-29,1195.1,260.4,111.77920930012196
2001-03-30,1148.2,259.2,111.80522996882496
2001-03-31,1148.2,259.2,111.83202401560808
2001-04-01,1148.2,259.2,111.85882448356617
2001-04-02,1138.1,256.6,111.885631374238
2001-04-03,1149.25,257.9,111.91244468916284
2001-04-04,1136.65,259.4,111.93926442988024
2001-04-05,1136.65,259.1,111.96532235722492
2001-04-06,1139.6,260.9,111.99138635049816
2001-04-07,1139.6,260.9,112.01745641111197
2001-04-08,1139.6,260.9,112.04353254047876
2001-04-09,1128.35,259.2,112.06961474001126
2001-04-10,1103.05,258.2,112.09570301112252
2001-04-11,1066.8,259.6,112.12179735522594
2001-04-12,1024.9,260.9,112.1478977737352
2001-04-13,1024.9,260.9,112.17297988151316
2001-04-14,1024.9,260.9,112.19806759895609
2001-04-15,1024.9,260.9,112.22316092731856
2001-04-16,1044.6,264.1,112.24825986785548
2001-04-17,1067.0,261.8,112.27336442182202
2001-04-18,1103.4,262.0,112.29847459047365
2001-04-19,1144.45,266.0,112.32359037506608
2001-04-20,1144.0,265.4,112.34871177685535
2001-04-21,1144.0,265.4,112.3729418542317
2001-04-22,1144.0,265.4,112.39717715727232
2001-04-23,1149.75,264.3,112.4214176871042
2001-04-24,1146.3,264.7,112.44566344485465
2001-04-25,1155.35,262.6,112.46991443165112
2001-04-26,1143.75,264.5,112.4941706486214
2001-04-27,1101.3,264.3,112.51843209689342
2001-04-28,1101.3,264.3,112.54218612512264
2001-04-29,1101.3,264.3,112.56594516812004
2001-04-30,1125.25,264.4,112.58970922694436
2001-05-01,1125.25,264.8,112.61347830265449
2001-05-02,1137.2,265.8,112.63725239630952
2001-05-03,1122.05,266.7,112.66103150896885
2001-05-04,1130.05,266.5,112.684815641692
2001-05-05,1130.05,266.5,112.7075795180792
2001-05-06,1130.05,266.5,112.7303479930813
2001-05-07,1139.2,266.5,112.75312106762723
2001-05-08,1148.95,265.5,112.7758987426462
2001-05-09,1149.25,270.4,112.79868101906752
2001-05-10,1144.95,269.5,112.82146789782075
2001-05-11,1140.5,268.3,112.84425937983568
2001-05-12,1140.5,268.3,112.86808219422136
2001-05-13,1140.5,268.3,112.89191003789686
2001-05-14,1140.8,268.7,112.91574291192391
2001-05-15,1145.3,268.5,112.93958081736452
2001-05-16,1151.15,272.4,112.96342375528089
2001-05-17,1174.95,274.0,112.98740047408955
2001-05-18,1172.8,287.8,113.01138228200608
2001-05-19,1172.8,287.8,113.0353691801106
2001-05-20,1172.8,287.8,113.05936116948352
2001-05-21,1169.45,285.8,113.0833582512055
2001-05-22,1168.1,285.5,113.10736042635736
2001-05-23,1179.1,284.0,113.13136769602023
2001-05-24,1181.85,279.4,113.15538006127544
2001-05-25,1174.9,278.2,113.17939752320449
2001-05-26,1174.9,278.2,113.20342008288918
2001-05-27,1174.9,278.2,113.22744774141154
2001-05-28,1193.2,278.2,113.25148049985378
2001-05-29,1198.45,273.9,113.2755183592984
2001-05-30,1177.55,267.4,113.29956132082806
2001-05-31,1167.9,266.9,113.32244938426363
2001-06-01,1148.05,268.0,113.34534207140156
2001-06-02,1148.05,268.0,113.3682393831759
2001-06-03,1148.05,268.0,113.39114132052087
2001-06-04,1127.2,266.5,113.41404788437092
2001-06-05,1115.6,267.1,113.43695907566064
2001-06-06,1115.7,267.0,113.45987489532486
2001-06-07,1112.35,267.3,113.48318235126912
2001-06-08,1126.6,274.5,113.50649459513951
2001-06-09,1126.6,274.5,113.52981162791964
2001-06-10,1126.6,274.5,113.55313345059324
2001-06-11,1131.1,268.9,113.57646006414429
2001-06-12,1127.15,272.6,113.5997914695569
2001-06-13,1129.0,273.1,113.6231276678155
2001-06-14,1112.75,276.4,113.64569353226656
2001-06-15,1087.75,272.3,113.66826387836014
2001-06-16,1087.75,272.3,113.69083870698628
2001-06-17,1087.75,272.3,113.71341801903525
2001-06-18,1078.3,273.4,113.73600181539744
2001-06-19,1096.65,274.4,113.75859009696347
2001-06-20,1097.6,273.4,113.7811828646241
2001-06-21,1095.2,273.6,113.80339263979002
2001-06-22,1087.65,273.3,113.8256067502432
2001-06-23,1087.65,273.3,113.84782519682987
2001-06-24,1087.65,273.3,113.87004798039644
2001-06-25,1067.0,274.7,113.8922751017895
2001-06-26,1096.6,277.0,113.91450656185576
2001-06-27,1096.1,272.8,113.93674236144209
2001-06-28,1094.0,270.0,113.95885295688028
2001-06-29,1107.9,271.3,113.98096784310668
2001-06-30,1107.9,271.3,114.00308702095396
2001-07-01,1107.9,271.3,114.02521049125497
2001-07-02,1100.75,270.1,114.04733825484269
2001-07-03,1069.8,268.3,114.06947031255024
2001-07-04,1067.95,268.3,114.091606665211
2001-07-05,1069.75,265.8,114.11361790564428
2001-07-06,1065.1,266.6,114.13563339261871
2001-07-07,1065.1,266.6,114.15765312695363
2001-07-08,1065.1,266.6,114.1796771094684
2001-07-09,1059.5,267.0,114.20170534098264
2001-07-10,1072.05,266.7,114.22373782231604
2001-07-11,1083.65,268.8,114.24577455428856
2001-07-12,1105.5,267.1,114.26781553772024
2001-07-13,1110.45,267.6,114.28986077343129
